DATA DE REGISTRO,NORMA,LINK,ORIGEM,SITUAÇÃO,RESUMO,TEMA,ESTADO DE CUMPRIMENTO,ÁREA RESPONSÁVEL,CUMPRDEC CNJ/OFÍCIO CSJT,PROAD,PLANO DE AÇÃO PARA ADOÇÃO,LINK PARA PLANILHA,TOTAL ITENS SIM,TOTAL ITENS NÃO,OBSERVAÇÕES,LINK PARA FORMULÁRIO,PRIORIDADE DE FORMULÁRIO,IAD,NORMA - ORIGEM
13/11/2012,Resolução nº 162/2012,https://atos.cnj.jus.br/files/resolucao_162_13112012_16112012154821.pdf,CNJ,Revogada,Dispõe sobre a comunicação de prisão estrangeiro à missão diplomática de seu respectivo Estado de origem.,Execução Penal e Sistema Carcerário,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 162/2012 - CNJ
13/11/2012,Resolução nº 163/2012,https://atos.cnj.jus.br/files/compilado22344020230321641a31003db1f.pdf,CNJ,Alterada,Cria o Fórum Nacional do Poder Judiciário e Liberdade de Imprensa.,Responsabilidade Social,Não se aplica,Não se aplica,0005989-94.2012.2.00.0000,,,,,,,,Não se aplica,,Resolução nº 163/2012 - CNJ
14/11/2012,Resolução nº 164/2012,https://atos.cnj.jus.br/files/resolucao_164_14112012_01042019141217.pdf,CNJ,Revogada,Institui o Fórum Nacional de Coordenação das Ações do Poder Judiciário em relação aos Preparativos da Copa das Confederações FIFA 2013 e da Copa do Mundo FIFA 2014.,Funcionamento dos Órgãos Judiciais,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 164/2012 - CNJ
16/11/2012,Resolução nº 165/2012,https://atos.cnj.jus.br/files/compilado170920202007095f074f40097c0.pdf,CNJ,Alterada,"Dispõe sobre normas gerais para o atendimento, pelo Poder Judiciário, ao adolescente em conflito com a lei no âmbito na internação provisória e do cumprimento das medidas socioeducativas.",Infância e Juventude,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 165/2012 - CNJ
22/11/2012,Resolução nº 118/2012,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/27736/2012_res0118_csjt.pdf?sequence=1&isAllowed=y,CSJT,Meramente alteradora,"Altera dispositivos da Resolução n. 63, de 28 de maio de 2010, que institui a padronização da estrutura organizacional e de pessoal dos órgãos da Justiça do Trabalho de primeiro e segundo graus.",Gestão Administrativa,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 118/2012 - CSJT
3/12/2012,Resolução nº 119/2012,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/27896/2012_res0119_csjt.pdf?sequence=1&isAllowed=y,CSJT,Meramente alteradora,"Acrescenta os §§ 3º e 4º ao art. 10 da Resolução n. 87, de 25 de novembro de 2011, que dispõe sobre os ajustes que tenham por objeto a administração dos depósitos judiciais, precatórios, requisições de pequeno valor, serviço de pagamento de pessoal e cessão de espaço físico no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Gestão e Organização Judiciária,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 119/2012 - CSJT
19/12/2012,Resolução nº 166/2012,https://atos.cnj.jus.br/atos/detalhar/1652,CNJ,Orientadora/Informadora,Dispõe sobre o critério de tempo no cargo para efeito de aposentadoria de magistrado.,Direitos e Deveres dos Magistrados,Não se aplica,Não se aplica,,,,https://docs.google.com/spreadsheets/d/1saBp8jIwlFVb274_euNiFZWBXPC1fQbWNQ6kNy4oqoU/edit?resourcekey=&gid=687095809#gid=687095809,,,,https://docs.google.com/forms/d/1HZuv9qCwwyJxfgF95YAOtm5Zg6FO6v1U5LeB6OIPrXw/edit,Não se aplica,,Resolução nº 166/2012 - CNJ
22/02/2011,Resolução nº 126/2011,https://atos.cnj.jus.br/files/resolucao_126_22022011_03042019144222.pdf,CNJ,Revogada,Dispõe sobre o Plano Nacional de Capacitação Judicial de magistrados e servidores do Poder Judiciário.,Gestão de Pessoas,Não se aplica,Não se aplica,0001088-20.2011.2.00.0000,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 126/2011 - CNJ
15/03/2011,Resolução nº 127/2011,https://atos.cnj.jus.br/atos/detalhar/154,CNJ,Alterada,"Dispõe sobre o pagamento de honorários de perito, tradutor e intérprete, em casos de beneficiários da justiça gratuita, no âmbito da Justiça de primeiro e segundo graus.",Gestão Administrativa,Em análise,Secretaria Geral da Presidência,0001471-95.2011.2.00.0000,,,https://docs.google.com/spreadsheets/d/1GD4OFsu1s9Iozi5AXj0-LoWFHxV_N-PyZQ2y5M3i_2A/edit?resourcekey=&gid=1071557413#gid=1071557413,,,,https://docs.google.com/forms/d/1QyHgbngVkO0mY_No4UHgp2yHKM6iVjBOJd0GyJje5iU/edit,Não,,Resolução nº 127/2011 - CNJ
17/03/2011,Resolução nº 128/2011,https://atos.cnj.jus.br/files/resolucao_128_17032011_22022017192521.pdf,CNJ,Alterada,Determina a criação de Coordenadorias Estaduais das Mulheres em Situação de Violência Doméstica e Familiar no âmbito dos Tribunais de Justiça dos Estados e do Distrito Federal.,Direitos Humanos,Não se aplica,Não se aplica,0001473-65.2011.2.00.0000,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 128/2011 - CNJ
