NORMA,ORIGEM,LINK PARA PLANILHA,ÁREA RESPONSÁVEL,NORMA - ORIGEM
Resolução nº 76/2009,CNJ,https://docs.google.com/spreadsheets/d/1WU04-V2O_B_TmDIibElB3ayIS5ZzT19VGy44AEkiGQU/edit?resourcekey=&gid=1760223646#gid=1760223646,Secretaria de Governança e Gestão Estratégica,Resolução nº 76/2009 - CNJ
Resolução nº 83/2009,CNJ,https://docs.google.com/spreadsheets/d/1b8VCu7dechmJXQmyTiyean5Y7-jtgG1hSQAOhreuJeo/edit?resourcekey=&gid=1359692600#gid=1359692600,Secretaria Geral da Presidência,Resolução nº 83/2009 - CNJ
Resolução nº 95/2009,CNJ,https://docs.google.com/spreadsheets/d/13eZJ3f-L4RB9yz3Wy7-S7FETewm-AgD33pcUDS0on0c/edit?resourcekey=&gid=832273941#gid=832273941,Secretaria Geral da Presidência,Resolução nº 95/2009 - CNJ
Resolução nº 102/2009,CNJ,https://docs.google.com/spreadsheets/d/1o5fZhar7b-2R7O48l70x2AipharDtJUPbN-zI8Gsk6s/edit?resourcekey=&gid=191491131#gid=191491131,Secretaria de Governança e Gestão Estratégica,Resolução nº 102/2009 - CNJ
Resolução nº 51/2008,CSJT,https://docs.google.com/spreadsheets/d/1Ok-Bf5h5jBw_uZ8cU_4-yZjOBY-2sOwla4gYdDOe0WM/edit?resourcekey=&gid=724604026#gid=724604026,Secretaria Geral da Presidência,Resolução nº 51/2008 - CSJT
Resolução nº 64/2008,CNJ,https://docs.google.com/spreadsheets/d/198yovX7566Ak0WF8yyAAmZ7OX72rmM95OMhN_Ot6xSU/edit?resourcekey=&gid=1633039107#gid=1633039107,Secretaria Geral da Presidência,Resolução nº 64/2008 - CNJ
Resolução nº 32/2007,CSJT,https://docs.google.com/spreadsheets/d/15zpepaWIlv_cx9NaxkigRbinTCeXshMOnDUJLhp1PY0/edit?resourcekey=&gid=1284201293#gid=1284201293,Secretaria Geral da Presidência,Resolução nº 32/2007 - CSJT
Resolução nº 33/2007,CSJT,https://docs.google.com/spreadsheets/d/1m3TfpkUNut_5vZ0y96B-NBHJG_J5YJwnVxp-1OSkPKU/edit?resourcekey=&gid=438991344#gid=438991344,Secretaria Geral da Presidência,Resolução nº 33/2007 - CSJT
Resolução nº 32/2007,CNJ,https://docs.google.com/spreadsheets/d/1hXfX7h99rrlbnr6KUVsFYN57Dx7GUOAtf6ObbXgH5_8/edit?resourcekey=&gid=267831397#gid=267831397,Secretaria Geral da Presidência,Resolução nº 32/2007 - CNJ
Resolução nº 34/2007,CNJ,https://docs.google.com/spreadsheets/d/1jinBukhzeUpKQzRkMSQthhtAImwlhtA8CZvSl0ng_10/edit?resourcekey=&gid=1111525014#gid=1111525014,Secretaria Geral da Presidência,Resolução nº 34/2007 - CNJ
Resolução nº 37/2007,CNJ,https://docs.google.com/spreadsheets/d/1jinBukhzeUpKQzRkMSQthhtAImwlhtA8CZvSl0ng_10/edit?resourcekey=&gid=1111525014#gid=1111525014,Secretaria Geral da Presidência,Resolução nº 37/2007 - CNJ
Resolução nº 38/2007,CSJT,https://docs.google.com/spreadsheets/d/1O2DXeSbS3p6_Kd-ZyHxCC1m9GV3Nt_79dBlivUAcZ2Q/edit?resourcekey=&gid=745081227#gid=745081227,Secretaria Geral da Presidência,Resolução nº 38/2007 - CSJT
Resolução nº 46/2007,CNJ,https://docs.google.com/spreadsheets/d/1nhOZOHg3D0FOG5gltXUFE-EPuCLnpwWhOH13qTnPb6I/edit?resourcekey=&gid=866938650#gid=866938650,Secretaria Geral da Presidência,Resolução nº 46/2007 - CNJ
Resolução nº 07/2005,CNJ,https://docs.google.com/spreadsheets/d/1rtph4WJ9r1hJ-tM7pmsQcL7ME9mzc3j0Ep6HIti7RdY/edit?resourcekey=&gid=1171152444#gid=1171152444,Secretaria Geral da Presidência,Resolução nº 07/2005 - CNJ
Resolução nº 07/2005,CSJT,https://docs.google.com/spreadsheets/d/19zju0F3FLlv4BWxtcPgP-B59a2IyXV9D5BDMh2_397Q/edit?resourcekey=&gid=1715716736#gid=1715716736,Secretaria Geral da Presidência,Resolução nº 07/2005 - CSJT
Resolução nº 10/2005,CSJT,https://docs.google.com/spreadsheets/d/1z2xZCMOCpkzp4qEGrv8nXg_9VfnfpbhuvslHoWpvacI/edit?resourcekey=&gid=921733404#gid=921733404,Diretoria Geral,Resolução nº 10/2005 - CSJT
