NORMA,ORIGEM,LINK PARA PLANILHA,ÁREA RESPONSÁVEL,NORMA - ORIGEM
Resolução nº 467/2022,CNJ,https://docs.google.com/spreadsheets/d/1cmZrz6zr7CB8BCCnuJrb5G8qoAa4EW-mTcXYcFilvus/edit?resourcekey=&gid=1219121827#gid=1219121827,Secretaria Geral da Presidência,Resolução nº 467/2022 - CNJ
Resolução nº 469/2022,CNJ,https://docs.google.com/spreadsheets/d/1EY4H4EBbPiPhiggTMN3S6YOqRD87PX_XTi10rj0YIc0/edit?resourcekey=&gid=1809155520#gid=1809155520,Secretaria Geral da Presidência,Resolução nº 469/2022 - CNJ
Resolução nº 370/2021,CNJ,https://docs.google.com/spreadsheets/d/1hXg7MxIu8y_DalGd3RJWjJkM84ta-3mEBdkUwyPcTiE/edit?resourcekey=&gid=1887687633#gid=1887687633,Secretaria de Tecnologia da Informação e Comunicação,Resolução nº 370/2021 - CNJ
Resolução nº 285/2021,CSJT,https://docs.google.com/spreadsheets/d/1_lA2qcF5zSUNdCNsaCriuCk1xQejdJi5tHiwqtPVstU/edit?resourcekey=&gid=336393089#gid=336393089,Secretaria Geral da Presidência,Resolução nº 285/2021 - CSJT
Resolução nº 376/2021,CNJ,https://docs.google.com/spreadsheets/d/1WH9urq6lM_N8jWwFyU6kia35BBTf-lVmKkLTHRvlaQw/edit?resourcekey=&gid=580791356#gid=580791356,Secretaria Geral da Presidência,Resolução nº 376/2021 - CNJ
Resolução nº 379/2021,CNJ,https://docs.google.com/spreadsheets/d/1bTqhb7MqV6HaMefFrzc1Ldamfvd8XQI092uXIPq9ylI/edit?resourcekey=&gid=1590275639#gid=1590275639,Secretaria Geral da Presidência,Resolução nº 379/2021 - CNJ
Resolução nº 380/2021,CNJ,https://docs.google.com/spreadsheets/d/1L8fjAH-QPVktRRwRU40NKkV1NKk8pGJGW4ZP2stWNF0/edit?resourcekey=&gid=128063012#gid=128063012,Secretaria Geral da Presidência,Resolução nº 380/2021 - CNJ
Resolução nº 383/2021,CNJ,https://docs.google.com/spreadsheets/d/1Nt_TMQrkktsLUG6zP-Qh5mTN3vgstR4PGAMjI1uHZEo/edit?resourcekey=&gid=1942424807#gid=1942424807,Secretaria Geral da Presidência,Resolução nº 383/2021 - CNJ
Resolução nº 385/2021,CNJ,https://docs.google.com/spreadsheets/d/1c9CbNvZ4AcXHgQdYj-0pd32KJsZgyyt7oazCsqlK--o/edit?resourcekey=&gid=1967245974#gid=1967245974,Secretaria Geral da Presidência,Resolução nº 385/2021 - CNJ
Resolução nº 290/2021,CSJT,https://docs.google.com/spreadsheets/d/1RoUipSA9dDp2ZAl2q-jS1HNP92urBBeTUZEtlY8rnyE/edit?resourcekey=&gid=1127804056#gid=1127804056,Secretaria de Governança e Gestão Estratégica,Resolução nº 290/2021 - CSJT
Resolução nº 395/2021,CNJ,https://docs.google.com/spreadsheets/d/1rjAXF5gZ4-uynZC5uAOXBl0JugjLNbxXscIHzMMXANw/edit?resourcekey=&gid=1327039392#gid=1327039392,Secretaria Geral da Presidência,Resolução nº 395/2021 - CNJ
Resolução nº 401/2021,CNJ,https://docs.google.com/spreadsheets/d/18SkMBP24obHpHl9NLSZwNgODfW1R6ANzy3Hh_hUs8_o/edit?resourcekey=&gid=1808204537#gid=1808204537,Secretaria Geral da Presidência,Resolução nº 401/2021 - CNJ
Resolução nº 408/2021,CNJ,https://docs.google.com/spreadsheets/d/1pJknzbjP_yovcpZZNR4cxdHgTjFwOvyXoVIyqa5q3ew/edit?resourcekey=&gid=1266690988#gid=1266690988,Secretaria Geral da Presidência,Resolução nº 408/2021 - CNJ
Resolução nº 309/2021,CSJT,https://docs.google.com/spreadsheets/d/141LQ8o-JgZltHFxbODafcUW9lCtFMlzl0U-Lmkdh6_A/edit?resourcekey=&gid=392264960#gid=392264960,Secretaria Geral da Presidência,Resolução nº 309/2021 - CSJT
Resolução nº 420/2021,CNJ,https://docs.google.com/spreadsheets/d/1nJef55Th3nJPnDEg0GIifW7DIfyqqu5FX4EUdx-CJaE/edit?resourcekey=&gid=1977479827#gid=1977479827,Secretaria Geral da Presidência,Resolução nº 420/2021 - CNJ
Resolução nº 425/2021,CNJ,https://docs.google.com/spreadsheets/d/1Z7n0joaEfUSAYDB9HpBmkFqsHwFg3rnWjJ5WEnYQD9Q/edit?resourcekey=&gid=1060997722#gid=1060997722,Secretaria Geral da Presidência,Resolução nº 425/2021 - CNJ
Resolução nº 314/2021,CSJT,https://docs.google.com/spreadsheets/d/1iA8QNBIAIA7Oo1acrZPLx_gQ_rxkfY-hLVM6oK4C7vU/edit?resourcekey=&gid=1529177265#gid=1529177265,Secretaria Geral da Presidência,Resolução nº 314/2021 - CSJT
